"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"sentiment_v1","nonrag","claude","t","aws-comprehend","2","97","AWS Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","404","97","29","aws","unknown","aws__unknown"
"sentiment_v1","nonrag","claude","t","azure-text-analytics","3","96.5","Azure AI Language - Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/how-to/call-api","https://<your-resource>.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","azure","sentiment","azure__sentiment"
"sentiment_v1","nonrag","claude","t","meaningcloud","4","94","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis/doc/2.1","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","claude","t","ibm-watson-nlu","5","92","IBM Watson Natural Language Understanding","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","99","164","ibm","unknown","ibm__unknown"
"sentiment_v1","nonrag","claude","t","paralleldots","6","89.5","ParallelDots Sentiment Analysis API","https://www.paralleldots.com/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","405","83","-1","paralleldots","sentiment","paralleldots__sentiment"
"sentiment_v1","nonrag","claude","t","aylien","7","87","AYLIEN Text Analysis API","https://docs.aylien.com/textapi/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","117","288","aylien","unknown","aylien__unknown"
"sentiment_v1","nonrag","claude","t","twinword","8","85","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","44","-1","twinword","sentiment","twinword__sentiment"
"sentiment_v1","nonrag","claude","t","deepai-sentiment","9","82.5","DeepAI Sentiment Analysis API","https://deepai.org/machine-learning-model/sentiment-analysis","https://api.deepai.org","False","0.25","0.64","False","True","False","False","2025-10-28T23:27:33Z","0.363","True","False","False","False","False","0","GET","401","32","65","deepai","sentiment","deepai__sentiment"
"sentiment_v1","nonrag","claude","t","monkey-learn","10","79","MonkeyLearn Sentiment Analysis API","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","monkeylearn","sentiment","monkeylearn__sentiment"
"sentiment_v1","nonrag","claude","v","text-processing","1","98.5","Text-Processing.com Sentiment Analysis API","https://text-processing.com/docs/sentiment.html","https://text-processing.com/api","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","405","74","153","text-processing","sentiment","text_processing__sentiment"
"sentiment_v1","nonrag","claude","v","azure-text-analytics","2","96.8","Azure Cognitive Services - Text Analytics Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/quickstart","https://<resource-name>.cognitiveservices.azure.com/language","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","azure","sentiment","azure__sentiment"
"sentiment_v1","nonrag","claude","v","google-nlp","3","95.2","Google Cloud Natural Language API - Sentiment Analysis","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com/v2","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","224","0","google","sentiment","google__sentiment"
"sentiment_v1","nonrag","claude","v","meaningcloud-sentiment","4","93.7","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","claude","v","ibm-watson-nlu","5","91.4","IBM Watson Natural Language Understanding - Sentiment","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com/instances/<instance-id>/v1","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","91","164","ibm","sentiment","ibm__sentiment"
"sentiment_v1","nonrag","claude","v","paralleldots-sentiment","6","88.9","ParallelDots (Komprehend) Sentiment Analysis API","https://www.paralleldots.com/text-analysis-apis","https://apis.paralleldots.com/v4","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","70","-1","paralleldots","sentiment","paralleldots__sentiment"
"sentiment_v1","nonrag","claude","v","aylien-sentiment","7","86.3","Aylien Text Analysis API - Sentiment","https://aylien-text.p.rapidapi.com","https://aylien-text.p.rapidapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","429","29","-1","aylien","sentiment","aylien__sentiment"
"sentiment_v1","nonrag","claude","v","huggingface-inference","8","83.5","Hugging Face Inference API - Sentiment Models","https://huggingface.co/inference-api","https://api-inference.huggingface.co/models","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","117","22381","huggingface","sentiment","huggingface__sentiment"
"sentiment_v1","nonrag","claude","v","twinword-sentiment","9","76.2","Twinword Sentiment Analysis API","https://rapidapi.com/twinword/api/sentiment-analysis","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","429","26","-1","twinword","sentiment","twinword__sentiment"
"sentiment_v1","nonrag","deepseek","c","huggingface__sentiment-analysis","1","99.5","Hugging Face Inference API - Sentiment Analysis","https://huggingface.co/docs/api-inference/detailed_parameters#sentiment-analysis-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","106","22447","huggingface","sentiment","huggingface__sentiment"
"sentiment_v1","nonrag","deepseek","c","google_cloud__natural-language_sentiment","2","98.2","Google Cloud Natural Language API - Sentiment Analysis","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","231","0","google","sentiment","google__sentiment"
"sentiment_v1","nonrag","deepseek","c","microsoft_azure__text-analytics_sentiment","3","96.8","Azure Text Analytics - Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/overview","https://YOUR_RESOURCE_NAME.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","azure","sentiment","azure__sentiment"
"sentiment_v1","nonrag","deepseek","c","amazon_aws__comprehend_sentiment","4","95.1","Amazon Comprehend - Detect Sentiment","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","404","90","29","aws","sentiment","aws__sentiment"
"sentiment_v1","nonrag","deepseek","c","meaningcloud__sentiment-analysis","5","92.3","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","deepseek","c","monkeylearn__sentiment-analysis","6","89.7","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","monkeylearn","sentiment","monkeylearn__sentiment"
"sentiment_v1","nonrag","deepseek","c","parallel_dots__sentiment-analysis","7","86.4","ParallelDots Sentiment Analysis","https://www.paralleldots.com/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","405","77","-1","paralleldots","sentiment","paralleldots__sentiment"
"sentiment_v1","nonrag","deepseek","c","textrazor__sentiment-analysis","8","83.2","TextRazor Sentiment Analysis","https://www.textrazor.com/sentiment_analysis","https://api.textrazor.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","400","93","128","textrazor","sentiment","textrazor__sentiment"
"sentiment_v1","nonrag","deepseek","c","aylien__sentiment-analysis","9","79.8","AYLIEN Text Analysis - Sentiment","https://docs.aylien.com/textapi/endpoints/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","107","288","aylien","sentiment","aylien__sentiment"
"sentiment_v1","nonrag","deepseek","c","dandelion__sentiment-analysis","10","76.1","Dandelion Sentiment Analysis","https://dandelion.eu/docs/api/datatxt/sent/v1/","https://api.dandelion.eu","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","720","118","dandelion","sentiment","dandelion__sentiment"
"sentiment_v1","nonrag","deepseek","t","huggingface-sentiment","1","99.5","Hugging Face Inference API - Sentiment Analysis","https://huggingface.co/docs/api-inference/detailed_parameters#sentiment-analysis-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","104","22447","huggingface","sentiment","huggingface__sentiment"
"sentiment_v1","nonrag","deepseek","t","meaningcloud-sentiment","2","98.2","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/doc","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","deepseek","t","monkeylearn-sentiment","3","97.8","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","monkeylearn","sentiment","monkeylearn__sentiment"
"sentiment_v1","nonrag","deepseek","t","parallelDots-sentiment","4","96.5","ParallelDots Sentiment Analysis","https://www.paralleldots.com/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","73","-1","paralleldots","sentiment","paralleldots__sentiment"
"sentiment_v1","nonrag","deepseek","t","textrazor-sentiment","5","95.2","TextRazor Sentiment Analysis","https://www.textrazor.com/sentiment_analysis","https://api.textrazor.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","400","94","128","textrazor","sentiment","textrazor__sentiment"
"sentiment_v1","nonrag","deepseek","t","aylien-sentiment","6","93.7","AYLIEN Text Analysis - Sentiment","https://docs.aylien.com/textapi/endpoints/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","117","288","aylien","sentiment","aylien__sentiment"
"sentiment_v1","nonrag","deepseek","t","dandelion-sentiment","7","92.1","Dandelion Sentiment Analysis","https://dandelion.eu/docs/api/datatxt/sentiment/","https://api.dandelion.eu","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","718","118","dandelion","sentiment","dandelion__sentiment"
"sentiment_v1","nonrag","deepseek","t","google-nlp-sentiment","8","90.4","Google Cloud Natural Language - Sentiment","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","230","0","google","sentiment","google__sentiment"
"sentiment_v1","nonrag","deepseek","t","microsoft-text-analytics","9","88.7","Microsoft Azure Text Analytics - Sentiment","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/overview","https://{your-resource-name}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","azure","sentiment","azure__sentiment"
"sentiment_v1","nonrag","deepseek","t","amazon-comprehend","10","86.3","Amazon Comprehend - Sentiment","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.{region}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:31Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","aws","sentiment","aws__sentiment"
"sentiment_v1","nonrag","deepseek","v","azure-text-analytics","1","100","Azure Text Analytics","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/overview","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","azure","unknown","azure__unknown"
"sentiment_v1","nonrag","deepseek","v","aws-comprehend","2","99.5","Amazon Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.{region}.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","ERR","1","","aws","unknown","aws__unknown"
"sentiment_v1","nonrag","deepseek","v","google-cloud-natural-language","3","99","Google Cloud Natural Language","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:33Z","0.345","True","False","False","False","True","0","GET","404","61","0","google","unknown","google__unknown"
"sentiment_v1","nonrag","deepseek","v","monkeylearn-sentiment","4","98.5","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0","","monkeylearn","sentiment","monkeylearn__sentiment"
"sentiment_v1","nonrag","deepseek","v","meaningcloud-sentiment","5","98","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/doc","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","deepseek","v","paralleldots-sentiment","6","97.5","ParallelDots Sentiment Analysis","https://www.paralleldots.com/docs/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","68","-1","paralleldots","sentiment","paralleldots__sentiment"
"sentiment_v1","nonrag","deepseek","v","textrazor-sentiment","7","97","TextRazor Sentiment Analysis","https://www.textrazor.com/docs/rest#Sentiment","https://api.textrazor.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","400","90","128","textrazor","sentiment","textrazor__sentiment"
"sentiment_v1","nonrag","deepseek","v","aylien-sentiment","8","96.5","AYLIEN Text Analysis","https://docs.aylien.com/textapi/endpoints/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","70","288","aylien","sentiment","aylien__sentiment"
"sentiment_v1","nonrag","deepseek","v","dandelion-sentiment","9","96","Dandelion Sentiment Analysis","https://dandelion.eu/docs/api/datatxt/sentiment/","https://api.dandelion.eu","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","744","118","dandelion","sentiment","dandelion__sentiment"
"sentiment_v1","nonrag","deepseek","v","twinword-sentiment","10","95.5","Twinword Sentiment Analysis","https://www.twinword.com/api/sentiment-analysis.php","https://api.twinword.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","302","613","-1","twinword","sentiment","twinword__sentiment"
"sentiment_v1","nonrag","gemini","c","rapidapi__text_processing_sentiment","1","100","Text-Processing Sentiment Analysis","https://rapidapi.com/text-processing/api/sentiment-analysis","https://text-processing.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T23:27:37Z","0.291","True","False","False","False","False","0","GET","429","39","-1","rapidapi","sentiment","rapidapi__sentiment"
"sentiment_v1","nonrag","gemini","c","textapis_ai__legacy_aylien_sentiment","2","95","TextAPIs.ai (formerly Aylien Text Analysis)","https://docs.textapis.ai/api/v1/sentiment-analysis","https://api.textapis.ai","False","0.25","0","False","True","False","False","2025-10-28T23:27:38Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","aylien","unknown","aylien__unknown"
"sentiment_v1","nonrag","gemini","c","thetextapi__sentiment","3","95","TheTextAPI Sentiment Analysis","https://www.thetextapi.com/docs/sentiment-analysis-api","https://api.thetextapi.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:38Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","unknown","sentiment","unknown__sentiment"
"sentiment_v1","nonrag","gemini","c","ibm__watson_nlu_sentiment","4","90","IBM Watson Natural Language Understanding","https://cloud.ibm.com/apidocs/natural-language-understanding#sentiment","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","78","164","ibm","unknown","ibm__unknown"
"sentiment_v1","nonrag","gemini","c","monkeylearn__sentiment_classifier","5","85","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/classifiers/cl_pi3C7JiL/classify/","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","monkeylearn","sentiment","monkeylearn__sentiment"
"sentiment_v1","nonrag","gemini","c","aws__comprehend_sentiment","6","80","Amazon Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:32Z","0.345","True","False","False","False","True","0","GET","404","105","29","aws","unknown","aws__unknown"
"sentiment_v1","nonrag","gemini","c","azure__cognitive_language_sentiment","7","80","Azure Cognitive Service for Language","https://learn.microsoft.com/en-us/rest/api/language/text-analytics-runtime/sentiment-analysis","https://YOUR-RESOURCE-NAME.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","azure","unknown","azure__unknown"
"sentiment_v1","nonrag","gemini","t","ibm_watson_nlu","1","100","IBM Watson Natural Language Understanding","https://cloud.ibm.com/apidocs/natural-language-understanding?code=curl#analyze","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:27:34Z","0.363","True","False","False","False","False","0","GET","401","96","164","ibm","unknown","ibm__unknown"
"sentiment_v1","nonrag","gemini","t","huggingface_inference_api","2","100","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-classification-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","102","22447","huggingface","unknown","huggingface__unknown"
"sentiment_v1","nonrag","gemini","t","monkeylearn_classifiers","3","100","MonkeyLearn Classifiers","https://monkeylearn.com/api/v3/#classify-text","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","monkeylearn","unknown","monkeylearn__unknown"
"sentiment_v1","nonrag","gemini","t","rapidapi_sentiment-analysis-api_com","4","100","Sentiment Analysis (by sentiment-analysis-api.com)","https://rapidapi.com/sentiment-analysis-api/api/sentiment-analysis","https://sentiment-analysis-api.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T23:27:37Z","0.291","True","False","False","False","False","0","GET","429","45","-1","rapidapi","sentiment","rapidapi__sentiment"
"sentiment_v1","nonrag","gemini","t","azure_language_service","5","98","Azure Language Service - Sentiment Analysis","https://learn.microsoft.com/en-us/rest/api/language/analyze-text/sentiment-analysis","https://[your-resource-name].cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","azure","sentiment","azure__sentiment"
"sentiment_v1","nonrag","gemini","t","aws_comprehend","6","95","Amazon Comprehend","https://docs.aws.amazon.com/comprehend/latest/APIReference/API_DetectSentiment.html","https://comprehend.[region].amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:31Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1","","aws","unknown","aws__unknown"
"sentiment_v1","nonrag","gemini","t","meaningcloud_sentiment","7","90","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/doc/2.1","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","meaningcloud","sentiment","meaningcloud__sentiment"
"sentiment_v1","nonrag","gemini","v","hf_inference_api","1","100","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-classification-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","131","22381","huggingface","unknown","huggingface__unknown"
"sentiment_v1","nonrag","gemini","v","nlp_cloud","2","95","NLP Cloud","https://nlpcloud.com/nlp-sentiment-analysis-api.html","https://api.nlpcloud.io","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","102","19","nlpcloud","unknown","nlpcloud__unknown"
"sentiment_v1","nonrag","gemini","v","twinword_api","3","90","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","36","-1","twinword","sentiment","twinword__sentiment"
"sentiment_v1","nonrag","gemini","v","monkeylearn","4","85","MonkeyLearn Classifiers","https://monkeylearn.com/api/v3/#classify","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0","","monkeylearn","unknown","monkeylearn__unknown"
